runnable_processes,blocked_processes,swap_used,free_memory,buffer_memory,page_cache,swap_in,swap_out,blocks_in,blocks_out,interrupts,context_switches,user_cpu,system_cpu,idle_cpu,io_wait,steal_time,guest_time,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
1,0,354108,1016624,192944,266548,0,0,0,0,427,242,24,1,75,0,0,0,"-0,136326376","-1,132979564","-1,712768126","-0,321662317","-0,841625873","1,0070978464","-0,109085229"
1,0,354108,2726232,192944,266548,0,0,0,0,455,281,24,1,75,0,0,0,"0,0071632612","-1,046350258","-1,955477652","0,8264078421","0,2911521426","-0,719449869","0,2586704655"
1,0,354108,1962352,192944,266708,44,0,124,2,434,244,24,1,75,0,0,0,"0,0320956439","-1,081767728","-1,797022405","0,364985051","-0,305188332","0,0992996254","0,3849118238"
1,0,354108,1199884,192952,266708,0,0,0,6,431,251,24,1,75,0,0,0,"-0,111927716","-1,125061535","-1,727925196","-0,18762356","-0,723707989","0,8229748561","-0,080551709"
1,0,354108,2848716,192952,266708,0,0,0,0,439,254,24,1,75,0,0,0,"-0,042860258","-1,09308525","-1,986129376","0,8604070972","0,3980932246","-0,85260466","0,3386424786"
1,0,354108,2147532,192952,266708,0,0,0,2,472,246,24,1,75,0,0,0,"-0,026755716","-1,07974203","-1,857962355","0,4406546438","-0,091977955","-0,136496127","0,1141800603"
1,0,354108,1384112,192952,266708,0,0,0,0,588,236,24,1,75,0,0,0,"0,1043058185","-0,984501109","-1,679089045","0,0520190654","-0,661545439","0,6538987176","-0,241569422"
1,0,354108,3013992,192960,266708,0,0,0,6,667,280,24,1,75,0,0,0,"0,3278782477","-0,853116328","-1,872759708","1,2074435193","0,3894451192","-0,98326538","0,0218307924"
1,0,354108,2333320,192960,266708,0,0,0,2,654,249,24,1,75,0,0,0,"0,2488049442","-0,902302474","-1,784788144","0,7287475809","-0,05140766","-0,299609839","-0,104237527"
1,0,354108,1569600,192960,266708,0,0,0,0,656,232,24,1,75,0,0,0,"0,2053711257","-0,923605223","-1,670604095","0,2277910826","-0,564200266","0,4737387318","-0,288210154"
1,0,354108,806012,192960,266708,0,0,0,0,667,236,24,2,75,0,0,0,"0,7548321283","-0,880853808","-1,127653641","0,1363520342","-1,430308493","1,1116820899","-0,051288144"
1,0,354108,2512904,192968,266708,0,0,0,8,684,277,24,1,75,0,0,0,"0,3327230832","-0,847046413","-1,783470884","0,9048662148","0,0405961994","-0,471834753","-0,131800818"
1,0,354108,1753128,192968,266708,18,0,18,0,691,315,24,1,75,0,0,0,"0,3915872348","-0,769496119","-1,644889845","0,5015624952","-0,547122149","0,3330848638","-0,268178092"
1,0,354108,999024,192968,266708,0,0,0,0,661,249,24,1,75,0,0,0,"0,2114742494","-0,901344429","-1,575915535","-0,110766507","-0,966147526","1,0585636686","-0,459018699"
1,0,354108,2705924,192968,266708,0,0,0,2,673,257,24,2,75,0,0,0,"0,8534023897","-0,83898617","-1,412900525","1,3677369356","-0,14729781","-0,815451005","0,4127506271"
1,0,354108,1946148,192976,266708,0,0,0,6,657,240,24,1,75,0,0,0,"0,2311225026","-0,919026304","-1,719514385","0,4810441616","-0,312789152","0,0926980493","-0,204017051"
1,0,354108,1184092,192976,266708,0,0,0,0,674,247,24,2,75,0,0,0,"0,7896890134","-0,857415821","-1,18008664","0,3936171834","-1,181668029","0,7304469717","0,0271134392"
2,0,354108,2842028,192976,266708,0,0,0,2,678,271,24,1,75,0,0,0,"0,5063320646","-0,528086743","-1,768000067","2,4305691094","3,962655645","2,5713782174","0,4662812632"
1,0,354108,2122204,192984,266708,0,0,0,8,634,246,24,1,75,0,0,0,"0,2109244214","-0,934989213","-1,755979445","0,5794869409","-0,185538479","-0,088232104","-0,131940661"
1,0,354108,1364444,192984,266708,0,0,0,0,414,240,24,1,75,0,0,0,"-0,147766635","-1,143130993","-1,771429","-0,115945134","-0,596685917","0,6505737574","0,0030276173"
1,0,354108,2997760,192984,266708,0,0,0,4,428,270,24,1,75,0,0,0,"-0,035357513","-1,087750632","-2,00695565","0,9653251122","0,495157993","-1,002210133","0,3760100292"
1,0,354108,2318360,192984,266708,0,0,0,0,406,232,24,1,75,0,0,0,"-0,135328407","-1,154145476","-1,925478754","0,4718488881","0,0633562822","-0,322642286","0,2697381519"
