runnable_processes,blocked_processes,swap_used,free_memory,buffer_memory,page_cache,swap_in,swap_out,blocks_in,blocks_out,interrupts,context_switches,user_cpu,system_cpu,idle_cpu,io_wait,steal_time,guest_time,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Principale9,Principale10,Principale11,Principale12,Principale13,Principale14,Principale15,Principale16
1,0,338672,1566828,200060,376152,0,0,0,6,693,242,24,1,75,0,0,0,"-0,646838649","0,4588701925","1,2433051325","-0,536196822","0,0274721376","-0,004577997","-0,21182426","0,3473166984","-0,524961675","0,2027197773","0,240721788","-0,165417232","-0,099467573","-0,077373199","-0,030147696","0,007316594"
1,0,338672,800940,200060,376160,0,0,0,2,705,255,24,2,75,0,0,0,"-0,088053847","0,5200805203","1,7841444641","-0,622544161","-0,845334352","0,6377264307","0,0183250807","-1,642731234","-0,097521975","0,2982741611","0,1774509101","-0,283291614","-0,300157378","0,0747568085","0,0069418588","0,0433764626"
1,0,338672,2515628,200060,376160,0,0,0,2,721,286,24,2,74,0,0,0,"0,1967096568","0,6733689399","1,5070884635","0,4411601119","0,3497467872","-1,13591653","0,3914962228","-1,470396502","-0,295164722","0,3011134561","0,1537043692","-0,143145031","-0,221616418","-0,028621202","0,0397064708","-0,140883299"
1,0,338672,1754808,200068,376160,0,0,0,8,597,239,24,1,75,0,0,0,"-0,783402256","0,3627866673","1,1628067076","-0,506763776","0,2019610667","-0,209764077","-0,022468988","0,356835603","-0,306451199","0,0557070818","0,0138331019","-0,122396592","-0,033022111","-0,112268872","-0,03538431","0,0260854884"
1,0,338672,1001384,200068,376160,0,0,0,0,416,238,24,2,75,0,0,0,"-0,523986721","0,2303591055","1,5868311755","-0,781010802","-0,564202254","0,3899423147","0,5073386962","-1,655689997","0,5846563697","-0,155040465","-0,503260573","-0,169306747","-0,123779932","-0,010713942","0,0236156032","0,0708736441"
1,0,338672,2678000,200068,376160,0,0,0,2,450,271,24,1,74,0,0,0,"-0,766346351","0,3671785814","0,9109437725","-0,098245656","0,9321270438","-1,200792112","0,3860236309","0,4329421655","-0,034420486","-0,237462424","-0,408272351","0,0878426259","0,1246534875","-0,269376834","0,0424795285","-0,197284434"
1,0,338672,1950000,200076,376160,0,0,0,6,428,248,24,1,75,0,0,0,"-1,015138861","0,218871517","1,0378804794","-0,531064627","0,4088812089","-0,42982619","0,2672350231","0,3595672916","0,0911559734","-0,210572454","-0,397067865","-0,039895724","0,1177054165","-0,190665455","-0,04265664","0,0575205786"
1,0,338672,1192480,200076,376160,0,0,0,0,520,366,24,1,75,0,0,0,"-0,778728994","0,4569013558","1,2212502605","-0,808110903","-0,218174951","0,3794222441","-0,165745859","0,3115305821","-0,026610263","-0,123212137","-0,26642639","0,0177312495","0,280359858","-0,321237856","-0,099704693","0,0629306047"
1,0,338672,2822532,200076,376160,0,0,0,2,458,273,24,1,74,0,0,0,"-0,747768945","0,3784991057","0,8934989806","0,0027113848","1,0259459473","-1,346284454","0,4103345378","0,4481340116","-0,066644895","-0,218732943","-0,388813681","0,0860184276","0,1318665872","-0,27086678","0,0350410674","-0,187169655"
1,0,338672,2066856,200084,376160,0,0,0,6,427,238,24,1,75,0,0,0,"-1,024019059","0,2065690403","1,0175160112","-0,46842327","0,4948294003","-0,551064096","0,3083974804","0,3691530004","0,0794217828","-0,204483562","-0,390780768","-0,048179941","0,1031697931","-0,177565499","-0,03910139","0,0600795823"
