runnable_processes,blocked_processes,swap_used,free_memory,buffer_memory,page_cache,swap_in,swap_out,blocks_in,blocks_out,interrupts,context_switches,user_cpu,system_cpu,idle_cpu,io_wait,steal_time,guest_time,Cluster
1,0,354108,2515200,193024,266764,0,0,0,6,473,311,24,1,74,0,0,0,5
1,0,354108,1751552,193024,266764,0,0,0,2,481,238,24,1,75,0,0,0,5
1,0,354108,988520,193024,266764,0,0,0,0,545,236,24,1,75,0,0,0,6
1,0,354108,2693420,193024,266764,0,0,0,0,661,280,24,1,74,0,0,0,5
1,0,354108,1925708,193032,266768,0,0,0,10,666,255,24,1,75,0,0,0,5
1,0,354108,1166156,193032,266768,0,0,0,0,676,292,24,1,75,0,0,0,6
1,0,354108,2842832,193032,266768,0,0,0,0,695,290,24,1,74,0,0,0,5
1,0,354108,2118912,193040,266772,0,0,0,12,670,241,24,1,75,0,0,0,5
1,0,354108,1357056,193040,266772,0,0,0,0,663,229,24,2,75,0,0,0,7
1,0,354108,2988148,193040,266772,0,0,0,0,714,302,24,1,74,0,0,0,5
1,0,354108,2302604,193040,266772,0,0,0,6,689,257,24,1,75,0,0,0,5
1,0,354108,1542072,193048,267520,2,0,376,6,702,268,24,2,75,0,0,0,7
1,0,354108,778096,193048,267520,0,0,0,0,696,249,24,1,75,0,0,0,6
1,0,354108,2486392,193048,267520,0,0,0,2,667,288,25,1,75,0,0,0,5
1,0,354108,1726616,193048,267520,0,0,0,0,412,240,24,1,75,0,0,0,5
1,0,354108,966640,193072,267520,30,0,30,24,444,264,24,1,75,0,0,0,6
1,0,354108,2676484,193072,267520,2,0,2,8,475,307,24,1,74,0,0,0,5
1,0,354108,1919796,193072,267520,0,0,0,0,428,234,24,1,75,0,0,0,5
1,0,354108,1162036,193080,267512,0,0,0,6,427,238,24,2,75,0,0,0,7
1,0,354108,2843244,193080,267524,0,0,0,2,461,293,24,2,74,0,0,0,7
1,0,354108,2106788,193080,267524,0,0,0,0,448,283,24,1,75,0,0,0,5
1,0,354108,1344948,193080,267524,0,0,0,0,425,236,24,1,75,0,0,0,6
1,0,354108,2974216,193088,267524,0,0,0,8,455,289,24,1,74,0,0,0,5
1,0,354108,2294484,193088,267524,0,0,0,0,422,231,24,1,75,0,0,0,5
1,0,354108,1539108,193088,267524,0,0,0,0,440,256,24,1,75,0,0,0,6
1,0,354108,775592,193088,267524,0,0,0,2,437,245,24,1,75,0,0,0,6
1,0,354108,2490484,193096,267524,0,0,0,6,459,295,24,1,74,0,0,0,5
1,0,354108,1726324,193096,267524,0,0,0,0,421,237,24,1,75,0,0,0,5
1,0,354108,962968,193096,267524,0,0,0,2,422,239,24,1,75,0,0,0,6
1,0,354108,2668300,193104,267528,0,0,0,6,464,285,24,2,74,0,0,0,7
1,0,354108,1907772,193104,267528,0,0,0,0,514,252,24,1,75,0,0,0,5
1,0,354108,1149780,193104,267528,0,0,0,2,636,246,24,1,75,0,0,0,6
1,0,354108,2842904,193104,267528,0,0,0,0,675,287,25,1,74,0,0,0,5
1,0,354108,2098520,193112,267528,0,0,0,6,651,234,24,1,75,0,0,0,5
1,0,354108,1361440,193112,267528,0,0,0,2,570,248,23,2,75,0,0,0,7
1,0,354108,2995996,193112,267528,0,0,0,0,720,350,24,1,74,0,0,0,5
1,0,354108,2314532,193112,267528,0,0,0,0,677,259,24,1,75,0,0,0,5
1,0,354108,1550900,193120,267528,0,0,0,8,675,247,24,1,75,0,0,0,5
1,0,354108,795120,193120,267528,0,0,0,0,757,370,24,2,75,0,0,0,7
1,0,354108,2527356,193120,267528,0,0,0,0,750,439,24,1,74,0,0,0,5
1,0,354108,1771596,193128,267520,0,0,0,8,652,243,24,1,75,0,0,0,5
1,0,353852,1035956,193128,267804,138,0,294,0,658,330,24,1,75,0,0,0,6
1,0,353596,2765564,193128,267844,84,0,84,0,921,603,25,1,74,0,0,0,5
1,0,353596,2004728,193128,267844,0,0,0,2,672,236,24,1,75,0,0,0,5
1,0,353596,1246968,193136,267844,6,0,6,6,682,255,24,1,75,0,0,0,6
1,0,353596,2885168,193136,267844,0,0,0,0,672,293,24,1,74,0,0,0,5
1,0,353596,2208368,193136,267844,0,0,0,2,419,239,24,1,75,0,0,0,5
1,0,353596,1475168,193136,267844,0,0,0,0,557,390,24,1,75,0,0,0,5
1,0,353596,752152,193144,267848,0,0,0,8,411,229,24,1,75,0,0,0,6
1,0,353596,2491044,193144,267848,0,0,0,2,475,320,24,1,74,0,0,0,5
1,0,353596,1770716,193144,267848,0,0,0,2,413,258,24,2,75,0,0,0,7
1,0,353596,1033020,193144,267848,0,0,0,0,383,220,24,1,75,0,0,0,6
1,0,353596,2697420,193152,267856,0,0,0,10,439,292,24,2,74,0,0,0,7
1,0,353596,1977596,193152,267856,0,0,0,0,415,225,24,1,75,0,0,0,5
1,0,353596,1248508,193152,267856,0,0,0,0,427,250,24,1,75,0,0,0,6
1,0,353596,2914468,193160,267856,0,0,0,12,463,298,24,2,74,0,0,0,7
1,0,353596,2255044,193160,267856,0,0,0,0,417,239,24,1,75,0,0,0,5
1,0,353596,1530000,193160,267856,0,0,0,0,420,229,24,1,75,0,0,0,6
1,0,353596,806960,193160,267856,0,0,0,6,417,243,24,1,75,0,0,0,6
1,0,353596,2542740,193168,267856,0,0,0,6,449,275,24,1,74,0,0,0,5
1,0,353596,1815732,193168,267856,0,0,0,0,638,489,24,1,75,0,0,0,5
1,0,353596,1070828,193168,267856,0,0,0,2,446,246,24,1,75,0,0,0,6
1,0,353596,2791568,193168,267856,0,0,0,0,452,284,25,1,74,0,0,0,5
1,0,353596,2034880,193176,267856,0,0,0,6,430,234,24,1,75,0,0,0,5
1,0,353596,1277120,193176,267856,0,0,0,2,503,246,24,1,75,0,0,0,6
1,0,353596,2916928,193176,267860,0,0,0,0,599,315,24,1,75,0,0,0,5
1,0,353596,2236788,193184,267860,10,0,10,6,684,291,25,1,75,0,0,0,5
1,0,353596,1477012,193184,267860,0,0,0,2,664,232,23,2,75,0,0,0,7
1,0,353596,721720,193184,267860,0,0,0,0,654,230,24,1,75,0,0,0,6
1,0,353596,2443768,193184,267860,0,0,0,0,688,288,24,1,74,0,0,0,5
1,0,353596,1691744,193192,267860,0,0,0,8,659,253,24,1,75,0,0,0,5
1,0,353596,945820,193192,267860,0,0,0,0,654,254,24,1,75,0,0,0,6
1,0,353596,2663204,193192,267864,0,0,0,0,711,308,24,2,74,0,0,0,7
1,0,353596,1903684,193192,267864,0,0,0,2,672,240,24,1,75,0,0,0,5
1,0,353596,1144888,193200,267868,0,0,0,6,677,247,24,2,75,0,0,0,7
1,0,353596,2828572,193200,267868,0,0,0,0,714,285,25,1,74,0,0,0,5
1,0,353596,2092164,193200,267868,16,0,16,2,673,255,25,1,75,0,0,0,5
2,0,353596,1334352,193208,267860,0,0,0,8,697,249,24,1,75,0,0,0,9
